frame_id,phase,duration_ms,cumulative_ms
0,load_images,9.79,0
0,kalman_splitter,0.09,0
0,matching_features,3.11,0
0,triangulate,0.31,0
0,tracking,19.21,0
1,load_images,9.50,0
1,kalman_splitter,0.72,0
1,matching_features,2.48,0
1,triangulate,0.48,0
1,tracking,23.40,0
2,load_images,8.37,0
2,kalman_splitter,0.25,0
2,matching_features,3.63,0
2,triangulate,0.55,0
2,tracking,3.54,0
3,load_images,8.85,0
3,kalman_splitter,0.64,0
3,matching_features,4.36,0
3,triangulate,0.54,0
3,tracking,3.68,0
4,load_images,8.27,0
4,kalman_splitter,0.83,0
4,matching_features,2.69,0
4,triangulate,0.53,0
4,tracking,8.41,0
5,load_images,8.25,0
5,kalman_splitter,0.72,0
5,matching_features,2.55,0
5,triangulate,0.55,0
5,tracking,5.31,0
6,load_images,8.21,0
6,kalman_splitter,0.82,0
6,matching_features,2.81,0
6,triangulate,0.55,0
6,tracking,6.08,0
7,load_images,8.47,0
7,kalman_splitter,0.82,0
7,matching_features,3.32,0
7,triangulate,0.49,0
7,tracking,4.83,0
8,load_images,7.85,0
8,kalman_splitter,1.01,0
8,matching_features,2.65,0
8,triangulate,0.49,0
8,tracking,11.12,0
9,load_images,8.03,0
9,kalman_splitter,0.81,0
9,matching_features,2.62,0
9,triangulate,0.49,0
9,tracking,4.93,0
10,load_images,8.07,0
10,kalman_splitter,0.91,0
10,matching_features,2.54,0
10,triangulate,0.50,0
10,tracking,5.54,0
11,load_images,8.22,0
11,kalman_splitter,0.70,0
11,matching_features,2.47,0
11,triangulate,0.46,0
11,tracking,3.48,0
12,load_images,8.19,0
12,kalman_splitter,0.87,0
12,matching_features,2.67,0
12,triangulate,0.46,0
12,tracking,14.97,0
13,load_images,8.23,0
13,kalman_splitter,0.64,0
13,matching_features,2.73,0
13,triangulate,0.46,0
13,tracking,20.89,0
14,load_images,8.16,0
14,kalman_splitter,0.77,0
14,matching_features,2.41,0
14,triangulate,0.51,0
14,tracking,21.15,0
15,load_images,7.97,0
15,kalman_splitter,0.69,0
15,matching_features,2.36,0
15,triangulate,0.49,0
15,tracking,16.83,0
16,load_images,8.09,0
16,kalman_splitter,0.87,0
16,matching_features,2.29,0
16,triangulate,0.48,0
16,tracking,20.91,0
17,load_images,8.26,0
17,kalman_splitter,0.80,0
17,matching_features,2.48,0
17,triangulate,0.44,0
17,tracking,21.18,0
18,load_images,7.74,0
18,kalman_splitter,0.59,0
18,matching_features,2.48,0
18,triangulate,0.45,0
18,tracking,7.48,0
19,load_images,8.27,0
19,kalman_splitter,0.72,0
19,matching_features,2.60,0
19,triangulate,0.44,0
19,tracking,5.66,0
20,load_images,8.26,0
20,kalman_splitter,0.32,0
20,matching_features,3.18,0
20,triangulate,0.45,0
20,tracking,9.06,0
21,load_images,8.22,0
21,kalman_splitter,0.56,0
21,matching_features,3.13,0
21,triangulate,0.41,0
21,tracking,3.47,0
22,load_images,7.72,0
22,kalman_splitter,0.69,0
22,matching_features,2.58,0
22,triangulate,0.41,0
22,tracking,4.87,0
23,load_images,8.04,0
23,kalman_splitter,0.52,0
23,matching_features,2.50,0
23,triangulate,0.42,0
23,tracking,14.27,0
24,load_images,8.53,0
24,kalman_splitter,0.92,0
24,matching_features,2.35,0
24,triangulate,0.42,0
24,tracking,11.44,0
25,load_images,8.20,0
25,kalman_splitter,0.92,0
25,matching_features,2.43,0
25,triangulate,0.42,0
25,tracking,9.56,0
26,load_images,7.87,0
26,kalman_splitter,0.66,0
26,matching_features,2.42,0
26,triangulate,0.42,0
26,tracking,6.78,0
27,load_images,7.90,0
27,kalman_splitter,0.80,0
27,matching_features,2.46,0
27,triangulate,0.41,0
27,tracking,20.76,0
28,load_images,8.00,0
28,kalman_splitter,0.59,0
28,matching_features,2.78,0
28,triangulate,0.41,0
28,tracking,20.47,0
29,load_images,7.82,0
29,kalman_splitter,0.59,0
29,matching_features,2.29,0
29,triangulate,0.42,0
29,tracking,6.55,0
30,load_images,8.08,0
30,kalman_splitter,0.45,0
30,matching_features,2.56,0
30,triangulate,0.44,0
30,tracking,5.56,0
31,load_images,8.12,0
31,kalman_splitter,0.36,0
31,matching_features,2.86,0
31,triangulate,0.39,0
31,tracking,5.72,0
32,load_images,8.17,0
32,kalman_splitter,0.14,0
32,matching_features,3.31,0
32,triangulate,0.43,0
32,tracking,8.27,0
33,load_images,8.35,0
33,kalman_splitter,0.21,0
33,matching_features,2.73,0
33,triangulate,0.42,0
33,tracking,6.84,0
34,load_images,8.07,0
34,kalman_splitter,0.77,0
34,matching_features,2.35,0
34,triangulate,0.39,0
34,tracking,6.21,0
35,load_images,8.39,0
35,kalman_splitter,0.60,0
35,matching_features,2.52,0
35,triangulate,0.43,0
35,tracking,13.68,0
36,load_images,8.19,0
36,kalman_splitter,0.71,0
36,matching_features,2.37,0
36,triangulate,0.48,0
36,tracking,15.71,0
37,load_images,7.95,0
37,kalman_splitter,0.52,0
37,matching_features,2.86,0
37,triangulate,0.49,0
37,tracking,20.73,0
38,load_images,7.75,0
38,kalman_splitter,0.45,0
38,matching_features,2.45,0
38,triangulate,0.42,0
38,tracking,20.69,0
39,load_images,8.15,0
39,kalman_splitter,0.95,0
39,matching_features,2.37,0
39,triangulate,0.42,0
39,tracking,19.73,0
40,load_images,8.09,0
40,kalman_splitter,0.66,0
40,matching_features,2.70,0
40,triangulate,0.43,0
40,tracking,6.78,0
41,load_images,8.15,0
41,kalman_splitter,0.95,0
41,matching_features,2.36,0
41,triangulate,0.45,0
41,tracking,8.67,0
42,load_images,8.11,0
42,kalman_splitter,0.60,0
42,matching_features,2.31,0
42,triangulate,0.43,0
42,tracking,20.13,0
43,load_images,7.92,0
43,kalman_splitter,0.75,0
43,matching_features,2.27,0
43,triangulate,0.42,0
43,tracking,19.57,0
44,load_images,8.22,0
44,kalman_splitter,0.79,0
44,matching_features,2.27,0
44,triangulate,0.43,0
44,tracking,20.45,0
45,load_images,7.76,0
45,kalman_splitter,0.57,0
45,matching_features,2.36,0
45,triangulate,0.42,0
45,tracking,20.14,0
46,load_images,8.07,0
46,kalman_splitter,0.55,0
46,matching_features,2.76,0
46,triangulate,0.44,0
46,tracking,4.61,0
47,load_images,8.09,0
47,kalman_splitter,1.02,0
47,matching_features,2.32,0
47,triangulate,0.42,0
47,tracking,9.52,0
48,load_images,8.08,0
48,kalman_splitter,0.61,0
48,matching_features,2.30,0
48,triangulate,0.43,0
48,tracking,5.60,0
49,load_images,8.26,0
49,kalman_splitter,1.02,0
49,matching_features,2.34,0
49,triangulate,0.43,0
49,tracking,5.21,0
50,load_images,8.24,0
50,kalman_splitter,0.36,0
50,matching_features,3.05,0
50,triangulate,0.45,0
50,tracking,7.69,0
51,load_images,8.12,0
51,kalman_splitter,0.56,0
51,matching_features,2.35,0
51,triangulate,0.47,0
51,tracking,5.21,0
52,load_images,8.13,0
52,kalman_splitter,0.93,0
52,matching_features,2.31,0
52,triangulate,0.47,0
52,tracking,8.67,0
53,load_images,7.93,0
53,kalman_splitter,0.65,0
53,matching_features,2.23,0
53,triangulate,0.45,0
53,tracking,16.83,0
54,load_images,8.21,0
54,kalman_splitter,0.67,0
54,matching_features,2.28,0
54,triangulate,0.49,0
54,tracking,6.20,0
55,load_images,8.16,0
55,kalman_splitter,0.83,0
55,matching_features,2.32,0
55,triangulate,0.46,0
55,tracking,12.85,0
56,load_images,8.15,0
56,kalman_splitter,0.70,0
56,matching_features,2.74,0
56,triangulate,0.45,0
56,tracking,14.88,0
57,load_images,8.39,0
57,kalman_splitter,0.66,0
57,matching_features,2.32,0
57,triangulate,0.44,0
57,tracking,11.26,0
58,load_images,8.01,0
58,kalman_splitter,0.97,0
58,matching_features,2.58,0
58,triangulate,0.47,0
58,tracking,7.06,0
59,load_images,8.29,0
59,kalman_splitter,0.78,0
59,matching_features,2.39,0
59,triangulate,0.49,0
59,tracking,13.07,0
60,load_images,8.03,0
60,kalman_splitter,0.62,0
60,matching_features,2.47,0
60,triangulate,0.43,0
60,tracking,7.37,0
61,load_images,8.23,0
61,kalman_splitter,0.95,0
61,matching_features,2.30,0
61,triangulate,0.43,0
61,tracking,5.95,0
62,load_images,8.13,0
62,kalman_splitter,0.67,0
62,matching_features,2.61,0
62,triangulate,0.44,0
62,tracking,11.70,0
63,load_images,8.07,0
63,kalman_splitter,0.65,0
63,matching_features,2.28,0
63,triangulate,0.42,0
63,tracking,6.20,0
64,load_images,8.24,0
64,kalman_splitter,0.97,0
64,matching_features,2.24,0
64,triangulate,0.41,0
64,tracking,5.02,0
65,load_images,8.35,0
65,kalman_splitter,0.64,0
65,matching_features,2.41,0
65,triangulate,0.39,0
65,tracking,5.80,0
66,load_images,8.05,0
66,kalman_splitter,0.76,0
66,matching_features,2.38,0
66,triangulate,0.40,0
66,tracking,3.50,0
67,load_images,8.16,0
67,kalman_splitter,0.88,0
67,matching_features,2.34,0
67,triangulate,0.42,0
67,tracking,2.93,0
68,load_images,8.02,0
68,kalman_splitter,0.82,0
68,matching_features,2.67,0
68,triangulate,0.45,0
68,tracking,2.47,0
69,load_images,8.00,0
69,kalman_splitter,1.05,0
69,matching_features,2.21,0
69,triangulate,0.45,0
69,tracking,3.04,0
70,load_images,8.19,0
70,kalman_splitter,0.94,0
70,matching_features,2.31,0
70,triangulate,0.46,0
70,tracking,2.62,0
71,load_images,7.92,0
71,kalman_splitter,0.62,0
71,matching_features,2.25,0
71,triangulate,0.43,0
71,tracking,3.10,0
72,load_images,8.00,0
72,kalman_splitter,0.85,0
72,matching_features,2.20,0
72,triangulate,0.48,0
72,tracking,3.46,0
73,load_images,7.98,0
73,kalman_splitter,0.77,0
73,matching_features,2.42,0
73,triangulate,0.50,0
73,tracking,7.70,0
74,load_images,8.14,0
74,kalman_splitter,0.83,0
74,matching_features,2.28,0
74,triangulate,0.49,0
74,tracking,5.64,0
75,load_images,7.73,0
75,kalman_splitter,0.80,0
75,matching_features,2.38,0
75,triangulate,0.51,0
75,tracking,2.98,0
76,load_images,8.25,0
76,kalman_splitter,0.93,0
76,matching_features,2.35,0
76,triangulate,0.50,0
76,tracking,6.64,0
77,load_images,8.15,0
77,kalman_splitter,0.96,0
77,matching_features,2.34,0
77,triangulate,0.56,0
77,tracking,5.43,0
78,load_images,7.90,0
78,kalman_splitter,0.81,0
78,matching_features,3.28,0
78,triangulate,0.57,0
78,tracking,3.63,0
79,load_images,7.92,0
79,kalman_splitter,0.94,0
79,matching_features,2.32,0
79,triangulate,0.61,0
79,tracking,6.27,0
80,load_images,8.15,0
80,kalman_splitter,0.62,0
80,matching_features,2.33,0
80,triangulate,0.58,0
80,tracking,4.85,0
81,load_images,8.22,0
81,kalman_splitter,0.83,0
81,matching_features,2.27,0
81,triangulate,0.58,0
81,tracking,2.84,0
82,load_images,7.93,0
82,kalman_splitter,0.86,0
82,matching_features,2.28,0
82,triangulate,0.61,0
82,tracking,7.59,0
83,load_images,8.24,0
83,kalman_splitter,1.06,0
83,matching_features,2.56,0
83,triangulate,0.61,0
83,tracking,2.57,0
84,load_images,8.13,0
84,kalman_splitter,0.89,0
84,matching_features,2.27,0
84,triangulate,0.67,0
84,tracking,2.92,0
85,load_images,8.03,0
85,kalman_splitter,0.97,0
85,matching_features,2.21,0
85,triangulate,0.61,0
85,tracking,8.41,0
86,load_images,8.21,0
86,kalman_splitter,0.93,0
86,matching_features,2.21,0
86,triangulate,0.65,0
86,tracking,5.18,0
87,load_images,8.18,0
87,kalman_splitter,0.74,0
87,matching_features,2.19,0
87,triangulate,0.60,0
87,tracking,3.52,0
88,load_images,8.19,0
88,kalman_splitter,0.89,0
88,matching_features,2.19,0
88,triangulate,0.62,0
88,tracking,2.77,0
89,load_images,8.12,0
89,kalman_splitter,0.81,0
89,matching_features,2.27,0
89,triangulate,0.60,0
89,tracking,13.04,0
90,load_images,8.38,0
90,kalman_splitter,0.96,0
90,matching_features,2.22,0
90,triangulate,0.56,0
90,tracking,3.69,0
91,load_images,8.09,0
91,kalman_splitter,0.79,0
91,matching_features,2.29,0
91,triangulate,0.58,0
91,tracking,15.53,0
92,load_images,8.26,0
