frame_id,features_size,matching_stab_ms,matching_ms,triangulate_ms,tracking_ms,total_ms,fps
1,277,3.117,22.837,0.311,19.215,123.785,36.531
2,437,2.483,26.491,0.479,23.4,56.046,33.745
3,498,3.637,7.865,0.546,3.537,32.263,89.5977
4,507,4.372,8.726,0.543,3.682,33.519,84.6812
5,493,2.7,11.808,0.531,8.409,36.383,66.72
6,519,2.554,8.484,0.548,5.306,33.459,87.6117
7,494,2.812,9.533,0.554,6.075,34.255,77.0238
8,461,3.323,8.743,0.49,4.831,32.945,84.3953
9,458,2.662,14.398,0.494,11.122,39.222,55.5401
10,457,2.626,8.152,0.491,4.934,32.608,88.9205
11,471,2.549,8.671,0.499,5.538,34.183,84.4309
12,437,2.475,6.503,0.462,3.475,31.686,104.877
13,425,2.68,18.24,0.458,14.971,43.355,46.6287
14,435,2.736,24.185,0.461,20.886,49.538,36.2345
15,467,2.422,24.207,0.514,21.152,50.582,35.7987
16,448,2.364,19.784,0.49,16.83,45.513,43.3088
17,441,2.294,23.791,0.482,20.915,49.738,36.7202
18,410,2.487,24.185,0.436,21.175,51.108,35.8886
19,410,2.48,10.504,0.447,7.477,36.37,75.0582
20,420,2.602,8.797,0.442,5.657,34.775,84.9762
21,419,3.183,12.789,0.447,9.059,38.582,61.885
22,377,3.138,7.105,0.405,3.473,31.821,100.03
23,381,2.585,7.917,0.405,4.865,32.433,90.6372
24,392,2.511,17.294,0.417,14.274,43.324,48.0977
25,396,2.361,14.297,0.421,11.436,40.569,57.0223
26,394,2.433,12.485,0.418,9.559,38.309,63.5042
27,398,2.429,9.774,0.425,6.784,36.133,76.9408
28,382,2.469,23.722,0.405,20.762,48.513,37.3846
29,386,2.788,23.779,0.412,20.474,49.039,36.8243
30,401,2.291,9.363,0.421,6.547,34.531,77.3156
31,387,2.571,8.675,0.438,5.562,33.987,84.2034
32,361,2.869,9.102,0.385,5.724,33.917,81.3537
33,394,3.322,12.153,0.431,8.268,36.978,64.7501
34,380,2.741,10.128,0.419,6.843,35.743,74.677
35,363,2.352,9.023,0.387,6.214,33.086,82.9669
36,393,2.523,16.712,0.429,13.678,43.017,49.8082
37,436,2.377,18.64,0.476,15.715,44.198,45.6684
38,458,2.863,24.18,0.487,20.73,49.624,36.1154
39,401,2.459,23.655,0.423,20.691,49.611,36.9099
40,400,2.372,22.609,0.422,19.732,49.002,38.4261
41,392,2.706,9.992,0.429,6.778,35.551,76.3009
42,409,2.365,11.555,0.446,8.672,37.589,67.2043
43,403,2.317,22.962,0.429,20.131,49.542,37.9925
44,399,2.271,22.357,0.422,19.567,48.005,39.0107
45,385,2.273,23.253,0.428,20.449,48.856,37.5657
46,400,2.362,23.039,0.422,20.142,49.001,37.7686
